phase,k_max,width,seed,output_dim,mc_samples,measured_mse,mc_floor,debiased_mse,debiased_rms,signal_to_floor,empirical_output_rms,cumulant_config,runtime_seconds,final_train_loss
initial,2,64,0,128,2000000,5.6376796381844636e-05,2.941369130199947e-07,5.6082659468824644e-05,0.007488835655081813,190.66855259003918,2.339976071157387,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.062274932861328125,
initial,3,64,0,128,2000000,1.1108171455909171e-06,2.941369130199947e-07,8.166802325709225e-07,0.0009037036198726452,2.776530916115947,2.339976071157387,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.08632016181945801,
trained_to_zero,2,64,0,128,2000000,3.364496381244209e-09,2.718780455204051e-11,3.3373085766921682e-09,5.7769443278364456e-05,122.75020479510161,0.007392615455774029,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.005957841873168945,5.610094625891085e-05
trained_to_zero,3,64,0,128,2000000,3.980122045906107e-09,2.718780455204051e-11,3.952934241354066e-09,6.287236468715064e-05,145.3936537533844,0.007392615455774029,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.024743080139160156,5.610094625891085e-05
initial,2,64,1,128,2000000,4.07670614108891e-05,3.8787617775606426e-07,4.037918523313304e-05,0.006354461836625745,104.10328746337072,2.1848613743063803,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.005769252777099609,
initial,3,64,1,128,2000000,1.9591212991210138e-06,3.8787617775606426e-07,1.5712451213649496e-06,0.0012534931676578655,4.050893587883882,2.1848613743063803,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.02380990982055664,
trained_to_zero,2,64,1,128,2000000,7.1410390949558296e-09,1.745757659294659e-11,7.123581518362883e-09,8.440131230237409e-05,408.05099610681555,0.005931846143060495,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.00480198860168457,3.3822969340372e-05
trained_to_zero,3,64,1,128,2000000,9.753946522996008e-09,1.745757659294659e-11,9.736488946403061e-09,9.86736486930683e-05,557.7228256490599,0.005931846143060495,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.022151947021484375,3.3822969340372e-05
initial,2,64,2,128,2000000,2.6081973536417866e-05,2.486270429750483e-07,2.583334649344282e-05,0.005082651521936441,103.90400892969394,1.8424627850547752,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.004816770553588867,
initial,3,64,2,128,2000000,1.142637770878157e-06,2.486270429750483e-07,8.940107279031087e-07,0.0009455214053119627,3.5957903742306496,1.8424627850547752,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.022694826126098633,
