width,seed,phase,input_dim,output_dim,hidden_depth,activation_name,train_steps,initial_train_loss,final_train_loss,mc_samples,cp_mean,mc_mean,mean_error,mean_abs_error,mean_squared_error,mean_l2_error,nmse_mean,variance_normalized_mean_error,empirical_output_rms,empirical_output_std,empirical_output_second_moment,cumulant_config_summary,runtime_seconds,status,error_message,weight_norm_layer_0,bias_norm_layer_0,weight_norm_layer_1,bias_norm_layer_1,weight_norm_layer_2,bias_norm_layer_2,weight_norm_layer_3,bias_norm_layer_3,relative_error_mean,mc_mean_se,mc_noise_z
64,0,initial,64,1,3,relu,0,,,64000,-1.512567447601129,-1.5171265685027602,0.0045591209016311,0.0045591209016311,2.0785583395689856e-05,0.004559120901631131,9.030641264509136e-06,6.458449573034304e-06,1.7939774211573862,0.9574350958501292,3.218354987622506,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.0577518939971923,ok,,8.063804865422684,9.775759492842017,11.445812863521496,8.851492673510423,11.274769500277678,7.943727855594854,1.4546505791437805,0.2427710511447569,0.0030051025381010133,0.0037845945183350434,1.20465240816133
64,0,trained_to_zero,64,1,3,relu,5000,3.0394779842404205,4.534160727042028e-06,64000,0.0095349176797025,0.0095850965462376,-5.017886653512112e-05,5.017886653512112e-05,2.5179186467494973e-09,5.01788665351003e-05,2.7406192632679463e-05,2.6124902948759083e-05,0.0098173325379049,0.0021227205089482,9.638001815980696e-05,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",6.628364086151123,ok,,7.506850825860196,9.816226915146132,11.387387226492322,8.827389699874821,11.33565833471166,7.94479869282708,1.401171637859948,0.2507325037463482,0.0052350924466756385,8.39078955528518e-06,5.980231088415585
64,1,initial,64,1,3,relu,0,,,64000,2.952879786578373,2.955167585554632,-0.0022877989762588,0.0022877989762588,5.2340241557710836e-06,0.002287798976259303,5.993375576300602e-07,5.512053918568573e-07,3.081492625545512,0.8732590352115353,9.495596801291374,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.0570180416107177,ok,,8.095078967001646,7.242509129780565,11.30795805435981,7.903965426372846,11.34911532120753,8.026836435564071,1.389996716154699,1.82940392662695,0.000774168946438667,0.0034518594232370377,0.6627729275982824
64,1,trained_to_zero,64,1,3,relu,5000,9.650836929839851,7.61930563274959e-05,64000,-0.0082465176071013,-0.0081985060248685,-4.801158223284238e-05,4.801158223284238e-05,2.305112028500986e-09,4.801158223279901e-05,3.429435113250923e-05,3.063663147581142e-05,0.0086741216644133,0.0028328229046728,7.524038664904503e-05,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",6.271355867385864,ok,,6.899212378430676,7.31227799138241,11.150031279736638,7.93070475580977,11.403991720810094,8.02548356676021,1.3670562262298485,1.811299539374223,0.005856137945292655,1.1197715733325117e-05,4.287622501640311
64,2,initial,64,1,3,relu,0,,,64000,0.094532249946011,0.0918029152297562,0.0027293347162548,0.0027293347162548,7.449267993353699e-06,0.0027293347162548054,0.0008838949516564,8.50297518989817e-06,0.9359902900109852,0.9314773468797654,0.8760778229948485,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.0558409690856933,ok,,7.906255337178381,7.775800229329017,11.045008855794476,7.359344410616243,11.118032028144476,7.677513715336635,1.5516149637117909,1.4743829997140327,0.029730370864523615,0.003681987506238493,0.7412666965569958
64,2,trained_to_zero,64,1,3,relu,5000,0.7922635865366161,0.0003602764979253,64000,0.0184114914079756,0.0182845971086533,0.0001268942993222,0.0001268942993222,1.6102163200480357e-08,0.0001268942993222985,4.816298906989924e-05,4.684798900396434e-05,0.0185394409849613,0.0030633936425295,0.0003437108720348,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",6.347562074661255,ok,,6.679746248847589,7.908239044075663,10.767962252086027,7.429649511731095,11.153201988924064,7.655034120275407,1.398740927818246,1.4439616090712457,0.006939955994726569,1.2109126600091095e-05,10.479227200590728
64,3,initial,64,1,3,relu,0,,,64000,-1.4842769792872024,-1.4825543142231108,-0.0017226650640915,0.0017226650640915,2.967574923041639e-06,0.0017226650640915775,1.3501451683571296e-06,1.013172521664729e-06,1.711430017033085,0.8550002389358188,2.9289927032018657,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.0579288005828857,ok,,8.074951365195789,9.16682410058725,11.437438580737052,8.057879468903574,11.203008587576251,8.012529044902434,1.570983817896305,0.8803934260918637,0.0011619574726967946,0.003379685193781708,0.509711693488909
64,3,trained_to_zero,64,1,3,relu,5000,3.0892178661232146,1.083192189790654e-05,64000,-0.0032577345322677,-0.0032591783484391,1.443816171377288e-06,1.443816171377288e-06,2.0846051367305697e-12,1.4438161713998393e-06,1.962490258409804e-07,1.494390993339145e-07,0.0037349067700673,0.0018240847223087,1.394952858109457e-05,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",6.360082149505615,ok,,6.981022381657747,9.252068674318007,11.278188540732607,8.09712361651626,11.26242543568046,8.032334005040621,1.5178190524113604,0.8671593984238654,0.0004430000498893588,7.210327959514055e-06,0.2002427600053835
64,4,initial,64,1,3,relu,0,,,64000,-1.6675833729420653,-1.6677829815027136,0.0001996085606483,0.0001996085606483,3.9843577484117535e-08,0.00019960856064837884,1.43244926956058e-08,1.1558696469694725e-08,1.856627305455002,0.8158215969015656,3.4470649513611016,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.0569090843200683,ok,,8.064428561819305,7.1385686266483965,11.209168918563988,8.461231364262781,11.29176179432267,7.574201503144187,1.4897021712006102,0.5076250037430463,0.00011968497272253426,0.003224818013205892,0.06189762019719188
64,4,trained_to_zero,64,1,3,relu,5000,3.4396796972729256,4.940348887155513e-06,64000,-0.0015865663192667,-0.0015129393540212,-7.362696524557642e-05,7.362696524557642e-05,5.420930011273318e-09,7.36269652455001e-05,0.0023682664958713,0.0009890885652583,0.0023410962534928,0.0017865458793918,5.480731668118059e-06,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",6.387404203414917,ok,,7.012627509197817,7.185808321151279,11.074723731073128,8.438887947063499,11.3413133025564,7.560871223571389,1.4007382512216258,0.5092909920329066,0.048664848991563446,7.0619426540832015e-06,10.425878320755098
